runid;date;abb;shortname;longname;census2019;doses_distributed;doses_administered;dist_per_100k;admin_per_100k;administered_dose1;administered_dose1_per_100k;administered_dose2;administered_dose2_per_100k;administered_moderna;administered_pfizer;administered_unk_manuf;population;state;ratio_admin_dist
1803;2021-01-15;AK;AKA;Alaska;   731545;  150450;   49039;20566;6703;   39546;5406;   9406;1286;NA;NA;NA;  731545;Alaska;0,32594882
1803;2021-01-15;AL;ALA;Alabama;  4903185;  444650;  100567; 9069;2051;   86956;1773;  13488; 275;NA;NA;NA; 4903185;Alabama;0,22617115
1803;2021-01-15;AR;ARA;Arkansas;  3017804;  297800;  118338; 9868;3921;   97829;3242;  18781; 622;NA;NA;NA; 3017825;Arkansas;0,39737408
1803;2021-01-15;AS;ASA;American Samoa;    55689;   18450;    3883;33130;6973;    3144;5646;    738;1325;NA;NA;NA;   55641;NA;0,21046070
1803;2021-01-15;AZ;AZA;Arizona;  7278717;  571725;  197086; 7855;2708;  176213;2421;  20837; 286;NA;NA;NA; 7278717;Arizona;0,34472168
1803;2021-01-15;BP2;BP2;Bureau of Prisons;        0;   16750;   16685;    0;   0;   14565;   0;   2086;   0;NA;NA;NA;NA;NA;0,99611940
1803;2021-01-15;CA;CAA;California; 39512223; 3548575; 1072959; 8981;2716;  865387;2190; 204374; 517;NA;NA;NA;39512223;California;0,30236334
1803;2021-01-15;CO;COA;Colorado;  5758736;  531775;  272233; 9234;4727;  223761;3886;  47021; 817;NA;NA;NA; 5758736;Colorado;0,51193268
1803;2021-01-15;CT;CTA;Connecticut;  3565287;  328775;  185866; 9222;5213;  166722;4676;  17162; 481;NA;NA;NA; 3565287;Connecticut;0,56532887
1803;2021-01-15;DC;DCA;District of Columbia;   705749;   68325;   39934; 9681;5658;   31667;4487;   8250;1169;NA;NA;NA;  705749;District of Columbia;0,58447128
1803;2021-01-15;DD2;DD2;Dept of Defense;        0;  507975;  201485;    0;   0;  179004;   0;  17946;   0;NA;NA;NA;NA;NA;0,39664354
1803;2021-01-15;DE;DEA;Delaware;   973764;   91250;   31090; 9371;3193;   25649;2634;   5354; 550;NA;NA;NA;  973764;Delaware;0,34071233
1803;2021-01-15;FL;FLA;Florida; 21477737; 2069175;  853081; 9634;3972;  776430;3615;  74776; 348;NA;NA;NA;21477737;Florida;0,41228074
1803;2021-01-15;FM;FMA;Federated States of Micronesia;   103643;    9800;     694; 9456; 670;     692; 668;      2;   2;NA;NA;NA;NA;NA;0,07081633
1803;2021-01-15;GA;GAA;Georgia; 10617423; 1011200;  231305; 9524;2179;  204301;1924;  22324; 210;NA;NA;NA;10617423;Georgia;0,22874308
1803;2021-01-15;GU;GUA;Guam;   165768;   34300;    3791;20692;2287;    3785;2283;      0;   0;NA;NA;NA;  165718;NA;0,11052478
1803;2021-01-15;HI;HIA;Hawaii;  1415872;  154150;   46958;10887;3317;   39690;2803;   7268; 513;NA;NA;NA; 1415872;Hawaii;0,30462536
1803;2021-01-15;IA;IAA;Iowa;  3155070;  269000;  120983; 8526;3835;  108056;3425;  10742; 340;NA;NA;NA; 3155070;Iowa;0,44975093
1803;2021-01-15;ID;IDA;Idaho;  1787065;  160075;   46636; 8957;2610;   37646;2107;   8843; 495;NA;NA;NA; 1787065;Idaho;0,29133844
1803;2021-01-15;IH2;IH2;Indian Health Svc;        0;  292700;   90245;    0;   0;   77309;   0;  12730;   0;NA;NA;NA;NA;NA;0,30831910
1803;2021-01-15;IL;ILA;Illinois; 12671821; 1011225;  437765; 7980;3455;  341518;2695;  91248; 720;NA;NA;NA;12671821;Illinois;0,43290563
1803;2021-01-15;IN;INA;Indiana;  6732219;  642425;  260310; 9543;3867;  222599;3306;  37683; 560;NA;NA;NA; 6732219;Indiana;0,40519905
1803;2021-01-15;KS;KSA;Kansas;  2913314;  263175;   97779; 9034;3356;   83293;2859;  13496; 463;NA;NA;NA; 2913314;Kansas;0,37153605
1803;2021-01-15;KY;KYA;Kentucky;  4467673;  337450;  174748; 7553;3911;  162733;3642;  10672; 239;NA;NA;NA; 4467673;Kentucky;0,51784857
1803;2021-01-15;LA;LAA;Louisiana;  4648794;  370175;  197967; 7963;4258;  167193;3596;  30416; 654;NA;NA;NA; 4648794;Louisiana;0,53479300
1803;2021-01-15;MA;MAA;Massachusetts;  6892503;  669325;  257175; 9711;3731;  222109;3222;  34885; 506;NA;NA;NA; 6949503;Massachusetts;0,38423038
1803;2021-01-15;MD;MDA;Maryland;  6045680;  565125;  194705; 9348;3221;  178831;2958;  15830; 262;NA;NA;NA; 6045680;Maryland;0,34453440
1803;2021-01-15;ME;MEA;Maine;  1344212;  136875;   61129;10183;4548;   51631;3841;   8274; 616;NA;NA;NA; 1344212;Maine;0,44660457
1803;2021-01-15;MH;MHA;Marshall Islands;    58413;   13600;     658;23282;1126;     632;1082;      2;   3;NA;NA;NA;NA;NA;0,04838235
1803;2021-01-15;MI;MIA;Michigan;  9986857;  773750;  364182; 7748;3647;  312415;3128;  48536; 486;NA;NA;NA; 9986857;Michigan;0,47067141
1803;2021-01-15;MN;MNA;Minnesota;  5639632;  519600;  198253; 9213;3515;  170273;3019;  27799; 493;NA;NA;NA; 5639632;Minnesota;0,38154927
1803;2021-01-15;MO;MOA;Missouri;  6137428;  528800;  190447; 8616;3103;  153664;2504;  36525; 595;NA;NA;NA; 1068778;Missouri;0,36014939
1803;2021-01-15;MP;MPA;Northern Mariana Islands;    56882;   18650;    4909;32787;8630;    3760;6610;   1146;2015;NA;NA;NA;   55194;NA;0,26321716
1803;2021-01-15;MS;MSA;Mississippi;  2976149;  233550;   84328; 7847;2833;   75885;2550;   8396; 282;NA;NA;NA; 2976149;Mississippi;0,36107043
1803;2021-01-15;MT;MTA;Montana;  1068778;   98500;   49364; 9216;4619;   41160;3851;   8193; 767;NA;NA;NA; 1068778;Montana;0,50115736
1803;2021-01-15;NC;NCA;North Carolina; 10488084;  999650;  302824; 9531;2887;  259859;2478;  42790; 408;NA;NA;NA;10488084;North Carolina;0,30293003
1803;2021-01-15;ND;NDA;North Dakota;   762062;   68675;   46410; 9012;6090;   38506;5053;   7555; 991;NA;NA;NA;  762062;North Dakota;0,67579177
1803;2021-01-15;NE;NEA;Nebraska;  1934408;  211500;   91195;10934;4714;   77734;4018;  13050; 675;NA;NA;NA; 1934408;Nebraska;0,43118203
1803;2021-01-15;NH;NHA;New Hampshire;  1359711;  127225;   62517; 9357;4598;   56797;4177;   5700; 419;NA;NA;NA; 1359711;New Hampshire;0,49138927
1803;2021-01-15;NJ;NJA;New Jersey;  8882190;  658800;  317070; 7417;3570;  278956;3141;  36741; 414;NA;NA;NA; 8882190;New Jersey;0,48128415
1803;2021-01-15;NM;NMA;New Mexico;  2096829;  204750;   99305; 9765;4736;   80172;3823;  18711; 892;NA;NA;NA; 2096829;New Mexico;0,48500611
1803;2021-01-15;NV;NVA;Nevada;  3080156;  211750;   83674; 6875;2717;   67679;2197;  15308; 497;NA;NA;NA; 3080156;Nevada;0,39515466
1803;2021-01-15;NY;NYA;New York State; 19453561; 1884325;  757466; 9686;3894;  671311;3451;  73523; 378;NA;NA;NA;19453561;New York;0,40198267
1803;2021-01-15;OH;OHA;Ohio; 11689100;  968250;  375428; 8283;3212;  361818;3095;  13552; 116;NA;NA;NA;11689100;Ohio;0,38773870
1803;2021-01-15;OK;OKA;Oklahoma;  3956971;  424000;  203410;10715;5141;  173162;4376;  28917; 731;NA;NA;NA; 3956971;Oklahoma;0,47974057
1803;2021-01-15;OR;ORA;Oregon;  4217737;  335075;  146153; 7944;3465;  133091;3156;  12795; 303;NA;NA;NA; 4217737;Oregon;0,43617996
1803;2021-01-15;PA;PAA;Pennsylvania; 12801989; 1075350;  448151; 8400;3501;  380727;2974;  66941; 523;NA;NA;NA;12801989;Pennsylvania;0,41674897
1803;2021-01-15;PR;PRA;Puerto Rico;  3193694;  311325;  104137; 9748;3261;   87512;2740;  16360; 512;NA;NA;NA; 3193694;Puerto Rico;0,33449611
